snapshot_time_utc,currency,instrument_name,option_type,strike,expiry_utc,dte_days,index_price,underlying_price,mark_price,mark_price_usd,mark_iv,bid_iv,ask_iv,best_bid_price,best_ask_price,best_bid_amount,best_ask_amount,last_price,open_interest,volume_24h,delta,gamma,vega,theta,rho,contract_size,tick_size
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-64500-C,call,64500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.66,0.0035,224.3418,33.55,32.05,34.41,0.0033,0.0037,0.6,17.4,0.0038,60.4,60.8,0.3458,0.00037,10.90126,-182.86006,0.46663,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-64500-P,put,64500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.66,0.0099,634.5668,33.55,28.6,37.45,0.009,0.0105,36.0,20.0,0.007,6.4,5.2,-0.6542,0.00037,10.90126,-182.86006,-0.90535,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-65000-C,call,65000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.66,0.0016,102.5563,34.27,33.1,35.49,0.0015,0.0018,0.2,2.0,0.0014,213.6,115.8,0.19033,0.00027,8.0308,-104.09972,0.25726,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-65000-P,put,65000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.66,0.0158,1012.743,34.27,0.0,74.68,0.0048,0.022,0.3,0.2,0.0295,10.0,0.0,-0.80967,0.00027,8.03074,-137.5898,-1.12535,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-65500-C,call,65500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.66,0.0007,44.8684,35.97,33.9,37.71,0.0006,0.0009,29.0,10.7,0.0006,58.4,55.0,0.09745,0.00016,5.09106,-47.82077,0.13184,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-65500-P,put,65500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.66,0.0227,1455.0169,35.97,0.0,123.24,0.019,0.0355,8.6,8.6,,0.0,0.0,-0.90255,0.00016,5.09106,-91.56821,-1.26141,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-66000-C,call,66000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.66,0.0003,19.2293,37.33,34.23,39.02,0.0002,0.0004,41.5,1.0,0.0003,81.1,72.6,0.04552,9e-05,2.82818,-20.24885,0.06163,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-66000-P,put,66000.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.57,0.0301,1929.3369,37.33,0.0,165.64,0.026,0.048,8.2,8.2,,0.0,0.0,-0.95449,9e-05,2.82769,-52.78479,-1.34227,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-66500-C,call,66500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.57,0.0001,6.4098,39.42,37.21,41.39,0.0001,0.0002,52.2,3.0,0.0002,67.2,18.5,0.02196,4e-05,1.5493,-9.30486,0.02974,1.0,0.0001
2026-06-21T13:21:25.867308+00:00,BTC,BTC-22JUN26-66500-P,put,66500.0,2026-06-22T08:00:00+00:00,0.7768,64098.54,64097.57,0.0377,2416.4784,39.42,0.0,91.31,0.0215,0.042,8.0,8.0,,0.0,0.0,-0.97804,4e-05,1.5493,-30.53635,-1.38477,1.0,0.0001
